query,frequency_current,timestamp_current,frequency_previous,timestamp_previous,growthRate,category
lightweight windbreaker,0.0,,286.0,2024-03-01,-1.0,misc
linen,4748.0,2025-03-01,4137.0,2024-03-01,0.15,misc
linen beige longline slides,56.0,2025-03-02,0.0,,56.0,misc
linen blouse,299.0,2025-03-04,53.0,2024-03-01,4.56,misc
linen bomber jacket,0.0,,87.0,2024-03-24,-0.99,fashion
linen bomber jacket solid shirt,0.0,,74.0,2024-03-01,-0.99,fashion
linen boots,66.0,2025-03-09,0.0,,66.0,footwear
linen cardigan,127.0,2025-03-18,92.0,2024-03-21,0.38,misc
linen coat,232.0,2025-03-22,0.0,,232.0,fashion
linen cotton solid hoodie,54.0,2025-03-21,0.0,,54.0,fashion
linen cotton striped tshirt,0.0,,88.0,2024-03-05,-0.99,fashion
linen cotton unisex shorts,113.0,2025-03-03,0.0,,113.0,fashion
linen crop top,53.0,2025-03-21,154.0,2024-03-11,-0.65,fashion
linen denim lightweight tshirt,127.0,2025-03-29,0.0,,127.0,fashion
linen dress,557.0,2025-03-06,76.0,2024-03-19,6.25,fashion
linen dress basket bag platform heels parka,0.0,,61.0,2024-03-23,-0.98,fashion
linen dress headscarf glitter parka,69.0,2025-03-10,0.0,,69.0,fashion
linen dress jumpsuit,83.0,2025-03-24,0.0,,83.0,fashion
linen dress sneakers,0.0,,107.0,2024-03-07,-0.99,fashion
linen fall transitional hoodie,0.0,,140.0,2024-03-25,-0.99,fashion
linen fitted striped sandals,134.0,2025-03-09,0.0,,134.0,footwear
linen flats,82.0,2025-03-14,152.0,2024-03-20,-0.46,footwear
linen heels,253.0,2025-03-21,79.0,2024-03-17,2.17,footwear
linen highwaisted pastel slides,77.0,2025-03-02,0.0,,77.0,misc
linen hoodie,0.0,,107.0,2024-03-31,-0.99,fashion
linen jacket,250.0,2025-03-08,199.0,2024-03-10,0.26,fashion
linen jeans,130.0,2025-03-16,137.0,2024-03-26,-0.05,fashion
linen jumpsuit,51.0,2025-03-15,136.0,2024-03-13,-0.62,fashion
linen leggings,282.0,2025-03-05,221.0,2024-03-30,0.27,fashion
linen loafer,60.0,2025-03-11,0.0,,60.0,misc
linen loose navy heels,0.0,,62.0,2024-03-16,-0.98,footwear
linen loose spring jumpsuit,0.0,,57.0,2024-03-11,-0.98,fashion
linen men summer heels,0.0,,91.0,2024-03-30,-0.99,footwear
linen midrise denim dress,143.0,2025-03-15,0.0,,143.0,fashion
linen midrise trendy coat,138.0,2025-03-11,0.0,,138.0,fashion
linen midrise women crop top,0.0,,62.0,2024-03-30,-0.98,fashion
linen olive oversized loafer,0.0,,56.0,2024-03-11,-0.98,misc
linen organic women jacket,82.0,2025-03-14,0.0,,82.0,fashion
linen oversized winter crop top,0.0,,65.0,2024-03-05,-0.98,fashion
linen pants,338.0,2025-03-08,98.0,2024-03-07,2.42,fashion
linen pants bucket hat milkmaid blouse flats,0.0,,77.0,2024-03-26,-0.99,fashion
linen pants cottage puff sleeves pants,0.0,,75.0,2024-03-05,-0.99,fashion
linen pants crop top,0.0,,94.0,2024-03-22,-0.99,fashion
linen pants milkmaid blouse floral dress dress,0.0,,92.0,2024-03-16,-0.99,fashion
linen pants romper,0.0,,82.0,2024-03-07,-0.99,fashion
linen parka,147.0,2025-03-11,214.0,2024-03-06,-0.31,misc
linen plaid transitional shorts,0.0,,85.0,2024-03-16,-0.99,fashion
linen plaid wool jumpsuit,0.0,,84.0,2024-03-23,-0.99,fashion
linen pullover,83.0,2025-03-22,149.0,2024-03-20,-0.44,misc
linen romper,158.0,2025-03-19,0.0,,158.0,fashion
linen sandals,435.0,2025-03-13,135.0,2024-03-09,2.21,footwear
linen shirt,167.0,2025-03-21,309.0,2024-03-07,-0.46,fashion
linen shorts,52.0,2025-03-20,313.0,2024-03-17,-0.83,fashion
linen skirt,271.0,2025-03-02,0.0,,271.0,fashion
linen slides,139.0,2025-03-14,110.0,2024-03-27,0.26,misc
linen sneakers,206.0,2025-03-04,0.0,,206.0,footwear
linen striped spring pants,0.0,,97.0,2024-03-30,-0.99,fashion
linen summer cropped tank top,0.0,,115.0,2024-03-04,-0.99,fashion
linen summer denim sneakers,0.0,,110.0,2024-03-09,-0.99,fashion
linen summer striped blouse,0.0,,131.0,2024-03-23,-0.99,misc
linen summer wool flats,0.0,,65.0,2024-03-01,-0.98,footwear
linen sweater,220.0,2025-03-06,0.0,,220.0,fashion
linen tank top,87.0,2025-03-31,282.0,2024-03-08,-0.69,fashion
linen trench coat,113.0,2025-03-14,171.0,2024-03-20,-0.34,fashion
linen trendy cotton sneakers,0.0,,147.0,2024-03-28,-0.99,footwear
linen tshirt,76.0,2025-03-03,257.0,2024-03-06,-0.7,fashion
linen unisex bomber jacket jacket,0.0,,127.0,2024-03-20,-0.99,fashion
linen unisex winter jeans,0.0,,136.0,2024-03-17,-0.99,fashion
linen windbreaker,302.0,2025-03-06,283.0,2024-03-06,0.07,misc
loafer,1640.0,2025-03-01,2235.0,2024-03-01,-0.27,misc
loafers,60.0,2025-03-17,0.0,,60.0,footwear
loafers bomber jacket,115.0,2025-03-23,0.0,,115.0,fashion
loafers boots,134.0,2025-03-02,0.0,,134.0,footwear
loafers cardigan,0.0,,130.0,2024-03-05,-0.99,footwear
loafers dress,105.0,2025-03-18,0.0,,105.0,fashion
loafers heels,139.0,2025-03-21,0.0,,139.0,footwear
loafers hoodie,83.0,2025-03-27,0.0,,83.0,fashion
loafers leg warmers turtleneck hoodie,0.0,,84.0,2024-03-19,-0.99,fashion
loafers leggings,116.0,2025-03-27,0.0,,116.0,fashion
loafers oxford turtleneck pants,144.0,2025-03-12,0.0,,144.0,fashion
loafers oxford turtleneck tshirt,130.0,2025-03-18,0.0,,130.0,fashion
loafers pullover,0.0,,59.0,2024-03-12,-0.98,footwear
loafers romper,113.0,2025-03-12,119.0,2024-03-25,-0.05,fashion
loafers shorts,0.0,,112.0,2024-03-08,-0.99,fashion
loafers slides,85.0,2025-03-01,0.0,,85.0,footwear
loafers soft pink wrap skirt jacket,0.0,,114.0,2024-03-27,-0.99,fashion
loafers tank top,0.0,,169.0,2024-03-03,-0.99,fashion
loafers turtleneck oxford shirt,145.0,2025-03-31,0.0,,145.0,fashion
loafers turtleneck wool blazer jacket,0.0,,138.0,2024-03-28,-0.99,fashion
loafers wool blazer oxford dress,137.0,2025-03-22,0.0,,137.0,fashion
longline,2454.0,2025-03-01,2084.0,2024-03-03,0.18,misc
longline black vintage crop top,76.0,2025-03-17,0.0,,76.0,fashion
longline black women windbreaker,113.0,2025-03-06,0.0,,113.0,misc
longline blouse,126.0,2025-03-30,98.0,2024-03-26,0.28,misc
longline bomber jacket,0.0,,215.0,2024-03-22,-1.0,fashion
longline boots,0.0,,68.0,2024-03-07,-0.99,footwear
longline cardigan,362.0,2025-03-10,120.0,2024-03-28,2.0,misc
longline cardigan black slides,0.0,,143.0,2024-03-02,-0.99,misc
longline coat,371.0,2025-03-08,71.0,2024-03-25,4.17,fashion
longline cotton oversized romper,0.0,,85.0,2024-03-05,-0.99,fashion
longline cotton transitional crop top,91.0,2025-03-10,0.0,,91.0,fashion
longline crop top,240.0,2025-03-01,114.0,2024-03-10,1.1,fashion
longline cropped vintage shirt,71.0,2025-03-18,0.0,,71.0,fashion
longline denim men sneakers,0.0,,54.0,2024-03-25,-0.98,fashion
longline dress,0.0,,196.0,2024-03-01,-0.99,fashion
longline fall oversized slides,78.0,2025-03-09,0.0,,78.0,misc
longline fall white shirt,0.0,,67.0,2024-03-28,-0.99,fashion
longline flats,195.0,2025-03-17,91.0,2024-03-20,1.13,footwear
longline floral transitional cardigan,0.0,,123.0,2024-03-04,-0.99,misc
longline heels,136.0,2025-03-08,0.0,,136.0,footwear
longline hoodie,178.0,2025-03-04,284.0,2024-03-01,-0.37,fashion
longline jacket,113.0,2025-03-30,0.0,,113.0,fashion
longline jeans,114.0,2025-03-20,86.0,2024-03-28,0.32,fashion
longline jumpsuit,201.0,2025-03-19,64.0,2024-03-14,2.11,fashion
longline leather pastel loafer,120.0,2025-03-01,0.0,,120.0,misc
longline leggings,214.0,2025-03-25,153.0,2024-03-08,0.4,fashion
longline lightweight linen jeans,0.0,,136.0,2024-03-15,-0.99,fashion
longline linen white sweater,0.0,,84.0,2024-03-25,-0.99,fashion
longline loafer,200.0,2025-03-12,0.0,,200.0,misc
longline midrise beige pullover,0.0,,106.0,2024-03-13,-0.99,misc
longline midrise black windbreaker,0.0,,132.0,2024-03-10,-0.99,misc
longline midrise highwaisted pullover,136.0,2025-03-01,0.0,,136.0,misc
longline minimalist white crop top,136.0,2025-03-16,0.0,,136.0,fashion
longline navy petite jacket,0.0,,66.0,2024-03-06,-0.99,fashion
longline oversized cardigan skirt,73.0,2025-03-02,0.0,,73.0,fashion
longline oversized new shirt,51.0,2025-03-07,0.0,,51.0,fashion
longline oversized tall jeans,0.0,,106.0,2024-03-31,-0.99,fashion
longline pants,134.0,2025-03-22,286.0,2024-03-01,-0.53,fashion
longline parka,301.0,2025-03-03,0.0,,301.0,misc
longline petite plus size sneakers,0.0,,70.0,2024-03-13,-0.99,footwear
longline plus size floral skirt,0.0,,96.0,2024-03-13,-0.99,fashion
longline printed white coat,66.0,2025-03-15,0.0,,66.0,fashion
longline pullover,189.0,2025-03-16,162.0,2024-03-18,0.17,misc
longline romper,342.0,2025-03-12,0.0,,342.0,fashion
longline sandals,252.0,2025-03-16,241.0,2024-03-11,0.05,footwear
longline shirt,281.0,2025-03-01,0.0,,281.0,fashion
longline shorts,204.0,2025-03-03,155.0,2024-03-06,0.31,fashion
longline skirt,193.0,2025-03-09,118.0,2024-03-04,0.63,fashion
longline sleeveless fitted parka,0.0,,56.0,2024-03-27,-0.98,misc
longline sleeveless summer sandals,132.0,2025-03-31,0.0,,132.0,footwear
longline slides,0.0,,205.0,2024-03-23,-1.0,misc
longline sneakers,117.0,2025-03-05,256.0,2024-03-08,-0.54,footwear
longline spring linen pants,0.0,,98.0,2024-03-18,-0.99,fashion
longline spring transitional pants,0.0,,91.0,2024-03-07,-0.99,fashion
longline summer plus size shirt,106.0,2025-03-25,0.0,,106.0,fashion
longline summer solid loafer,0.0,,107.0,2024-03-07,-0.99,misc
longline sweater,92.0,2025-03-28,113.0,2024-03-21,-0.18,fashion
longline tank top,248.0,2025-03-01,95.0,2024-03-12,1.59,fashion
longline trench coat,85.0,2025-03-26,191.0,2024-03-10,-0.55,fashion
longline tshirt,355.0,2025-03-12,166.0,2024-03-05,1.13,fashion
longline vintage navy tshirt,0.0,,69.0,2024-03-08,-0.99,fashion
longline white striped heels,0.0,,88.0,2024-03-31,-0.99,footwear
longline windbreaker,65.0,2025-03-06,106.0,2024-03-14,-0.38,misc
longline wool printed jeans,0.0,,99.0,2024-03-17,-0.99,fashion
loose,3460.0,2025-03-01,3498.0,2024-03-01,-0.01,misc
loose beige black loafer,0.0,,99.0,2024-03-04,-0.99,misc
loose beige men jumpsuit,0.0,,100.0,2024-03-27,-0.99,fashion
loose blouse,109.0,2025-03-26,53.0,2024-03-13,1.04,misc
loose bomber jacket,54.0,2025-03-17,0.0,,54.0,fashion
loose boots,0.0,,111.0,2024-03-26,-0.99,footwear
loose cardigan,135.0,2025-03-24,183.0,2024-03-18,-0.26,misc
loose cardigan printed loafer,56.0,2025-03-08,0.0,,56.0,misc
loose cardigan slim fit jumpsuit,0.0,,121.0,2024-03-26,-0.99,fashion
loose cardigan winter skirt,0.0,,76.0,2024-03-17,-0.99,fashion
loose coat,151.0,2025-03-08,0.0,,151.0,fashion
loose crop top,0.0,,553.0,2024-03-09,-1.0,fashion
loose dress,236.0,2025-03-07,0.0,,236.0,fashion
loose fall oversized windbreaker,0.0,,71.0,2024-03-31,-0.99,misc
loose fitted beige coat,0.0,,115.0,2024-03-24,-0.99,fashion
loose fitted bomber jacket crop top,0.0,,88.0,2024-03-30,-0.99,fashion
loose flats,92.0,2025-03-22,0.0,,92.0,footwear
loose heels,62.0,2025-03-24,56.0,2024-03-05,0.11,footwear
loose hoodie,132.0,2025-03-26,53.0,2024-03-30,1.46,fashion
loose jacket,262.0,2025-03-08,0.0,,262.0,fashion
loose jeans,209.0,2025-03-10,124.0,2024-03-15,0.68,fashion
loose jumpsuit,250.0,2025-03-10,0.0,,250.0,fashion
loose leather men dress,0.0,,135.0,2024-03-07,-0.99,fashion
loose leather transitional boots,84.0,2025-03-01,0.0,,84.0,footwear
loose leggings,0.0,,215.0,2024-03-03,-1.0,fashion
loose longline beige leggings,0.0,,144.0,2024-03-15,-0.99,fashion
loose men solid jumpsuit,0.0,,127.0,2024-03-13,-0.99,fashion
loose men wool sweater,55.0,2025-03-16,0.0,,55.0,fashion
loose midrise cropped hoodie,0.0,,117.0,2024-03-22,-0.99,fashion
loose olive spring cardigan,142.0,2025-03-28,0.0,,142.0,accessories
loose organic vintage slides,108.0,2025-03-09,0.0,,108.0,misc
loose pants,325.0,2025-03-17,0.0,,325.0,fashion
loose parka,115.0,2025-03-19,269.0,2024-03-11,-0.57,misc
loose pastel lightweight sweater,137.0,2025-03-24,0.0,,137.0,fashion
loose petite wool trench coat,115.0,2025-03-01,0.0,,115.0,fashion
loose plus size cropped boots,123.0,2025-03-02,0.0,,123.0,footwear
loose pullover,215.0,2025-03-04,0.0,,215.0,misc
loose romper,221.0,2025-03-21,112.0,2024-03-31,0.96,fashion
loose shirt,0.0,,88.0,2024-03-07,-0.99,fashion
loose shorts,179.0,2025-03-16,0.0,,179.0,fashion
loose skirt,328.0,2025-03-10,0.0,,328.0,fashion
loose sleeveless beige parka,136.0,2025-03-16,0.0,,136.0,misc
loose slides,104.0,2025-03-25,366.0,2024-03-14,-0.71,misc
loose sneakers,372.0,2025-03-12,128.0,2024-03-28,1.89,footwear
loose spring cardigan romper,67.0,2025-03-12,0.0,,67.0,fashion
loose summer cropped coat,0.0,,85.0,2024-03-17,-0.99,fashion
loose summer longline skirt,58.0,2025-03-21,0.0,,58.0,fashion
loose summer solid bomber jacket,137.0,2025-03-27,0.0,,137.0,fashion
loose sweater,394.0,2025-03-06,203.0,2024-03-17,0.94,fashion
loose tall bomber jacket heels,0.0,,77.0,2024-03-24,-0.99,fashion
loose tall lightweight pullover,0.0,,60.0,2024-03-24,-0.98,misc
loose tank top,190.0,2025-03-15,124.0,2024-03-31,0.53,fashion
loose trench coat,0.0,,134.0,2024-03-02,-0.99,fashion
loose tshirt,235.0,2025-03-13,465.0,2024-03-05,-0.49,fashion
loose white lightweight pants,0.0,,116.0,2024-03-31,-0.99,fashion
loose windbreaker,132.0,2025-03-09,239.0,2024-03-10,-0.45,misc
loose wool oversized boots,0.0,,62.0,2024-03-09,-0.98,footwear
lowrise,2671.0,2025-03-01,3145.0,2024-03-01,-0.15,misc
lowrise beige new tshirt,0.0,,54.0,2024-03-20,-0.98,fashion
lowrise beige summer blouse,0.0,,95.0,2024-03-22,-0.99,misc
lowrise black lightweight pullover,0.0,,145.0,2024-03-09,-0.99,misc
lowrise blouse,54.0,2025-03-08,103.0,2024-03-02,-0.47,misc
lowrise boots,378.0,2025-03-11,127.0,2024-03-29,1.96,footwear
lowrise cardigan,67.0,2025-03-27,133.0,2024-03-04,-0.49,misc
lowrise coat,215.0,2025-03-14,126.0,2024-03-05,0.7,fashion
lowrise cotton pastel sneakers,140.0,2025-03-06,0.0,,140.0,footwear
lowrise crop top,131.0,2025-03-05,89.0,2024-03-12,0.47,fashion
lowrise cropped new trench coat,80.0,2025-03-17,0.0,,80.0,fashion
lowrise flats,59.0,2025-03-09,0.0,,59.0,footwear
lowrise floral cardigan pants,52.0,2025-03-10,0.0,,52.0,fashion
lowrise floral winter slides,79.0,2025-03-13,0.0,,79.0,misc
lowrise highwaisted bomber jacket dress,125.0,2025-03-12,0.0,,125.0,fashion
lowrise jacket,237.0,2025-03-05,0.0,,237.0,fashion
lowrise jeans,148.0,2025-03-24,249.0,2024-03-21,-0.4,fashion
lowrise jeans baby tee neon strap coat,0.0,,58.0,2024-03-28,-0.98,fashion
lowrise jeans blouse,113.0,2025-03-09,0.0,,113.0,fashion
lowrise jeans utility vest neon strap cardigan,112.0,2025-03-03,0.0,,112.0,fashion
lowrise jumpsuit,232.0,2025-03-25,64.0,2024-03-21,2.58,fashion
lowrise leather highwaisted dress,102.0,2025-03-29,0.0,,102.0,fashion
lowrise leather lightweight shorts,143.0,2025-03-18,0.0,,143.0,fashion
lowrise leather striped jumpsuit,0.0,,65.0,2024-03-05,-0.98,fashion
lowrise leggings,0.0,,149.0,2024-03-31,-0.99,fashion
lowrise linen winter loafer,61.0,2025-03-11,0.0,,61.0,misc
lowrise linen women sandals,0.0,,120.0,2024-03-15,-0.99,footwear
lowrise linen wool jeans,110.0,2025-03-01,0.0,,110.0,fashion
lowrise loafer,0.0,,105.0,2024-03-02,-0.99,misc
lowrise longline new romper,61.0,2025-03-23,0.0,,61.0,fashion
lowrise longline vintage dress,0.0,,91.0,2024-03-24,-0.99,fashion
lowrise organic floral dress,74.0,2025-03-14,0.0,,74.0,fashion
lowrise organic winter parka,0.0,,149.0,2024-03-30,-0.99,misc
lowrise oversized highwaisted bomber jacket,0.0,,74.0,2024-03-20,-0.99,fashion
lowrise oversized lightweight hoodie,0.0,,143.0,2024-03-15,-0.99,fashion
lowrise pants,0.0,,214.0,2024-03-08,-1.0,fashion
lowrise parka,224.0,2025-03-15,0.0,,224.0,misc
lowrise plaid bomber jacket pants,0.0,,145.0,2024-03-30,-0.99,fashion
lowrise plus size navy shirt,0.0,,85.0,2024-03-29,-0.99,fashion
lowrise pullover,79.0,2025-03-09,99.0,2024-03-03,-0.2,misc
lowrise romper,200.0,2025-03-02,375.0,2024-03-20,-0.47,fashion
lowrise sandals,257.0,2025-03-04,55.0,2024-03-30,3.61,footwear
lowrise shirt,376.0,2025-03-15,166.0,2024-03-04,1.26,fashion
lowrise shorts,109.0,2025-03-15,94.0,2024-03-07,0.16,fashion
lowrise skirt,0.0,,212.0,2024-03-06,-1.0,fashion
lowrise sleeveless spring crop top,147.0,2025-03-08,0.0,,147.0,fashion
lowrise slides,148.0,2025-03-07,88.0,2024-03-07,0.67,misc
lowrise slim fit lightweight sweater,147.0,2025-03-17,0.0,,147.0,fashion
lowrise sneakers,0.0,,113.0,2024-03-22,-0.99,footwear
lowrise striped plus size jacket,0.0,,109.0,2024-03-13,-0.99,fashion
lowrise summer bomber jacket leggings,145.0,2025-03-13,0.0,,145.0,fashion
lowrise summer wool shirt,132.0,2025-03-24,0.0,,132.0,fashion
lowrise sweater,134.0,2025-03-05,185.0,2024-03-05,-0.27,fashion
lowrise tall navy tshirt,0.0,,132.0,2024-03-27,-0.99,fashion
lowrise tank top,141.0,2025-03-28,228.0,2024-03-26,-0.38,fashion
lowrise transitional fall leggings,145.0,2025-03-06,0.0,,145.0,fashion
lowrise transitional winter crop top,0.0,,135.0,2024-03-05,-0.99,fashion
lowrise trench coat,212.0,2025-03-18,0.0,,212.0,fashion
lowrise tshirt,70.0,2025-03-26,204.0,2024-03-04,-0.65,fashion
lowrise windbreaker,477.0,2025-03-05,82.0,2024-03-03,4.76,misc
lowrise wool fall cardigan,148.0,2025-03-20,0.0,,148.0,misc
lowrise wool loose romper,0.0,,145.0,2024-03-04,-0.99,fashion
lux leather,239.0,2025-03-03,381.0,2024-03-11,-0.37,misc
lux leather all black corset jeans,0.0,,90.0,2024-03-02,-0.99,fashion
lux leather all black corset parka,0.0,,118.0,2024-03-03,-0.99,fashion
lux leather all black deep red blouse,134.0,2025-03-20,0.0,,134.0,misc
lux leather all black deep red pullover,148.0,2025-03-03,0.0,,148.0,misc
lux leather all black deep red romper,0.0,,105.0,2024-03-08,-0.99,fashion
lux leather all black deep red sneakers,96.0,2025-03-31,0.0,,96.0,footwear
lux leather all black distressed layer jeans,143.0,2025-03-08,0.0,,143.0,fashion
lux leather all black distressed layer skirt,0.0,,122.0,2024-03-07,-0.99,fashion
lux leather all black dusty tones tank top,0.0,,71.0,2024-03-14,-0.99,fashion
lux leather all black dusty tones windbreaker,0.0,,123.0,2024-03-26,-0.99,misc
lux leather all black utility harness cardigan,93.0,2025-03-06,0.0,,93.0,misc
lux leather bright yellow all black jumpsuit,0.0,,63.0,2024-03-02,-0.98,fashion
lux leather crop top,0.0,,160.0,2024-03-10,-0.99,fashion
lux leather deep red dusty tones jacket,129.0,2025-03-11,0.0,,129.0,fashion
lux leather deep red dusty tones leggings,74.0,2025-03-26,0.0,,74.0,fashion
lux leather distressed layer deep red flats,61.0,2025-03-22,0.0,,61.0,footwear
lux leather distressed layer utility harness shorts,132.0,2025-03-18,0.0,,132.0,fashion
lux leather flats,142.0,2025-03-23,0.0,,142.0,footwear
lux leather fuchsia bright yellow slides,0.0,,133.0,2024-03-27,-0.99,misc
lux leather fuchsia deep red jacket,0.0,,97.0,2024-03-19,-0.99,fashion
lux leather jeans,99.0,2025-03-15,0.0,,99.0,fashion
lux leather romper,97.0,2025-03-21,0.0,,97.0,fashion
lux leather slides,137.0,2025-03-08,0.0,,137.0,misc
lux leather sweater,115.0,2025-03-04,0.0,,115.0,fashion
lux leather tshirt,0.0,,133.0,2024-03-22,-0.99,fashion
lux leather velvet corset jumpsuit,0.0,,120.0,2024-03-23,-0.99,fashion
lux leather velvet corset shorts,0.0,,97.0,2024-03-11,-0.99,fashion
matching set,186.0,2025-03-01,0.0,,186.0,fashion
matching set bold layering track pants shirt,0.0,,104.0,2024-03-24,-0.99,fashion
matching set dress,51.0,2025-03-12,0.0,,51.0,fashion
matching set flats,0.0,,139.0,2024-03-29,-0.99,fashion
matching set jacket,0.0,,51.0,2024-03-28,-0.98,fashion
matching set sports bra bold layering trench coat,97.0,2025-03-03,0.0,,97.0,fashion
matching set sports bra clashing print sandals,0.0,,122.0,2024-03-03,-0.99,fashion
matching set tshirt,129.0,2025-03-02,0.0,,129.0,fashion
men,1518.0,2025-03-02,683.0,2024-03-01,1.22,misc
men blouse,83.0,2025-03-09,145.0,2024-03-10,-0.42,misc
men bomber jacket,85.0,2025-03-26,0.0,,85.0,fashion
men boots,213.0,2025-03-02,0.0,,213.0,footwear
men cardigan,179.0,2025-03-13,0.0,,179.0,misc
men cardigan plus size sandals,0.0,,117.0,2024-03-08,-0.99,footwear
men coat,90.0,2025-03-23,232.0,2024-03-13,-0.61,fashion
men crop top,180.0,2025-03-15,0.0,,180.0,fashion
men dress,95.0,2025-03-16,106.0,2024-03-06,-0.1,fashion
men fitted leather sneakers,0.0,,71.0,2024-03-30,-0.99,footwear
men flats,209.0,2025-03-14,126.0,2024-03-02,0.65,footwear
men heels,0.0,,85.0,2024-03-01,-0.99,footwear
men highwaisted fitted parka,0.0,,144.0,2024-03-17,-0.99,misc
men hoodie,72.0,2025-03-31,0.0,,72.0,fashion
men jacket,111.0,2025-03-23,190.0,2024-03-07,-0.41,fashion
men jeans,96.0,2025-03-14,60.0,2024-03-15,0.59,fashion
men jumpsuit,223.0,2025-03-04,192.0,2024-03-01,0.16,fashion
men leggings,501.0,2025-03-15,0.0,,501.0,fashion
men lightweight minimalist hoodie,131.0,2025-03-07,0.0,,131.0,fashion
men linen bomber jacket parka,85.0,2025-03-23,0.0,,85.0,fashion
men loafer,147.0,2025-03-14,226.0,2024-03-05,-0.35,misc
men longline slim fit blouse,118.0,2025-03-16,0.0,,118.0,misc
men longline slim fit jeans,77.0,2025-03-14,0.0,,77.0,fashion
men midrise summer blouse,144.0,2025-03-11,0.0,,144.0,misc
men minimalist plus size sweater,0.0,,73.0,2024-03-11,-0.99,fashion
men pants,105.0,2025-03-21,105.0,2024-03-11,0.0,fashion
men parka,0.0,,84.0,2024-03-30,-0.99,misc
men petite printed pullover,0.0,,94.0,2024-03-31,-0.99,misc
men pullover,359.0,2025-03-03,0.0,,359.0,misc
men romper,61.0,2025-03-12,64.0,2024-03-28,-0.05,fashion
men sandals,172.0,2025-03-18,0.0,,172.0,footwear
men shirt,0.0,,94.0,2024-03-09,-0.99,fashion
men shorts,72.0,2025-03-11,0.0,,72.0,fashion
men skirt,325.0,2025-03-23,80.0,2024-03-28,3.02,fashion
men sleeveless bomber jacket pullover,0.0,,133.0,2024-03-30,-0.99,fashion
men slides,80.0,2025-03-06,109.0,2024-03-30,-0.26,misc
men sneakers,122.0,2025-03-09,182.0,2024-03-06,-0.33,footwear
men sweater,76.0,2025-03-08,212.0,2024-03-13,-0.64,fashion
men tank top,306.0,2025-03-14,451.0,2024-03-06,-0.32,fashion
men transitional new tshirt,0.0,,51.0,2024-03-30,-0.98,fashion
men tshirt,117.0,2025-03-30,0.0,,117.0,fashion
men vintage winter heels,55.0,2025-03-27,0.0,,55.0,footwear
men windbreaker,0.0,,101.0,2024-03-22,-0.99,misc
mesh,156.0,2025-03-18,275.0,2024-03-07,-0.43,misc
mesh bomber jacket,88.0,2025-03-06,0.0,,88.0,fashion
mesh camel coat combat boot sandals,0.0,,123.0,2024-03-16,-0.99,fashion
mesh camel coat wings pullover,0.0,,87.0,2024-03-02,-0.99,fashion
mesh heels,132.0,2025-03-26,0.0,,132.0,footwear
mesh hoodie,0.0,,99.0,2024-03-29,-0.99,fashion
mesh jumpsuit,67.0,2025-03-18,0.0,,67.0,fashion
mesh stockings bows bomber jacket,0.0,,92.0,2024-03-14,-0.99,fashion
mesh stockings bows leggings,149.0,2025-03-31,0.0,,149.0,fashion
mesh stockings combat boot pullover,0.0,,69.0,2024-03-27,-0.99,misc
mesh stockings combat boot windbreaker,112.0,2025-03-16,0.0,,112.0,misc
mesh tailored trousers cashmere cardigan,0.0,,131.0,2024-03-02,-0.99,fashion
mesh tailored trousers combat boot pullover,0.0,,70.0,2024-03-09,-0.99,fashion
mesh tank top,0.0,,130.0,2024-03-11,-0.99,fashion
midrise,2619.0,2025-03-01,2931.0,2024-03-03,-0.11,misc
midrise black longline dress,116.0,2025-03-15,0.0,,116.0,fashion
midrise bomber jacket,0.0,,194.0,2024-03-05,-0.99,fashion
midrise bomber jacket lowrise jeans,84.0,2025-03-09,0.0,,84.0,fashion
midrise boots,120.0,2025-03-16,113.0,2024-03-16,0.06,footwear
midrise cardigan,164.0,2025-03-09,136.0,2024-03-11,0.2,misc
midrise cardigan beige tshirt,93.0,2025-03-11,0.0,,93.0,fashion
midrise coat,0.0,,86.0,2024-03-26,-0.99,fashion
midrise cotton sleeveless jacket,90.0,2025-03-10,0.0,,90.0,fashion
midrise cotton winter flats,0.0,,51.0,2024-03-19,-0.98,footwear
midrise crop top,257.0,2025-03-14,0.0,,257.0,fashion
midrise cropped leather coat,0.0,,88.0,2024-03-31,-0.99,fashion
midrise denim bomber jacket sneakers,0.0,,122.0,2024-03-31,-0.99,fashion
midrise denim fall leggings,125.0,2025-03-04,0.0,,125.0,fashion
midrise dress,232.0,2025-03-02,130.0,2024-03-16,0.78,fashion
midrise fitted winter shorts,106.0,2025-03-21,0.0,,106.0,fashion
midrise flats,196.0,2025-03-26,146.0,2024-03-05,0.34,footwear
midrise floral solid leggings,134.0,2025-03-18,0.0,,134.0,fashion
midrise heels,93.0,2025-03-01,0.0,,93.0,footwear
midrise highwaisted slim fit bomber jacket,131.0,2025-03-04,0.0,,131.0,fashion
midrise highwaisted slim fit boots,0.0,,128.0,2024-03-11,-0.99,footwear
midrise highwaisted striped tank top,58.0,2025-03-17,0.0,,58.0,fashion
midrise hoodie,179.0,2025-03-01,144.0,2024-03-23,0.24,fashion
midrise jacket,177.0,2025-03-13,0.0,,177.0,fashion
midrise jeans,0.0,,54.0,2024-03-20,-0.98,fashion
midrise jumpsuit,0.0,,223.0,2024-03-17,-1.0,fashion
midrise leggings,83.0,2025-03-18,211.0,2024-03-06,-0.6,fashion
midrise lightweight oversized hoodie,113.0,2025-03-15,0.0,,113.0,fashion
